"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401754612","NC State","42","North Carolina","19","NC State -7","DraftKings","48.5","-7","-7.5","","-278","225"
"401754609","California","38","SMU","35","SMU -13.5","DraftKings","53.5","13.5","10","","400","-535"
"401754546","Wake Forest","29","Georgia Tech","30","Georgia Tech -13.5","DraftKings","53.5","13.5","17","","410","-550"
"401762830","Ball State","20","Ohio","14","Ohio -14","DraftKings","52.5","14","17.5","","440","-600"
"401757165","Notre Dame","28","Boise State","7","Notre Dame -21.5","DraftKings","63.5","-21.5","-16.5","","-1600","900"
"401757279","Sam Houston","27","Jacksonville State","29","Jacksonville State -7","DraftKings","53.5","7","8.5","","225","-278"
"401752862","Washington","38","Rutgers","19","Washington -9.5","DraftKings","62.5","-9.5","-10","","-360","285"
"401754561","SMU","34","Stanford","10","SMU -19.5","DraftKings","55.5","-19.5","-18.5","","-1050","675"
"401762841","Miami (OH)","44","Eastern Michigan","30","Miami (OH) -12.5","DraftKings","47.5","-12.5","-11.5","","-470","360"
"401752741","Florida","23","Mississippi State","21","Florida -9.5","DraftKings","50.5","-9.5","-9.5","","-360","285"
"401761668","Louisiana","10","Southern Miss","22","Southern Miss -4.5","DraftKings","54.5","4.5","2.5","","164","-198"
"401752738","Alabama","37","Tennessee","20","Alabama -8.5","DraftKings","61.5","-8.5","-12.5","","-340","270"
"401757172","Rice","37","UConn","34","UConn -10.5","DraftKings","48.5","10.5","9.5","","295","-375"
"401762847","Central Michigan","38","Massachusetts","13","Central Michigan -16.5","DraftKings","46.5","-16.5","-16.5","","-800","550"
"401757290","Louisiana Tech","55","Sam Houston","14","Louisiana Tech -16.5","DraftKings","47.5","-16.5","-17.5","","-850","575"
"401752689","Missouri","42","Kansas","31","Missouri -7","DraftKings","","-7","-7","","",""
"401754572","Miami","42","Stanford","7","Miami -28.5","DraftKings","45.5","-28.5","-30.5","","",""
"401757225","Utah State","28","UTEP","16","Utah State -3.5","DraftKings","59.5","-3.5","-3.5","59.5","-180","150"
"401754540","San Diego State","34","California","0","California -14","DraftKings","47.5","14","11.5","","425","-575"
"401760409","Utah State","51","Nevada","14","Utah State -10","DraftKings","52.5","-10","-10.5","","-380","300"
"401752751","South Carolina","22","Alabama","29","Alabama -11.5","DraftKings","47.5","11.5","7.5","","350","-455"
"401756934","Utah","53","Colorado","7","Utah -14","DraftKings","49.5","-14","-14.5","","-625","455"
"401752755","Florida","20","Georgia","24","Georgia -7","DraftKings","50.5","7","7.5","","225","-278"
"401756950","BYU","44","TCU","13","BYU -3","DraftKings","51.5","-3","-4.5","","-155","130"
"401762869","Eastern Michigan","21","Western Michigan","31","Western Michigan -10","DraftKings","49.5","10","5.5","","300","-380"
"401752690","Oklahoma","24","Michigan","13","Oklahoma -3","DraftKings","47.5","-3","-3","47.5","-148","124"
"401762518","Tulane","27","Charlotte","0","Tulane -30.5","DraftKings","51.5","-30.5","-28.5","","-8000","2200"
"401762466","Rice","38","Prairie View A&M","17","Rice -29.5","DraftKings","48.5","-29.5","","","-6500","2000"
"401752830","Iowa","47","Massachusetts","7","Iowa -35.5","DraftKings","44.5","-35.5","-35.5","","",""
"401756894","TCU","42","Abilene Christian","21","TCU -42.5","DraftKings","60.5","-42.5","-38.5","","",""
"401754642","Louisville","40","Bowling Green","17","Louisville -26.5","DraftKings","50.5","-26.5","-27.5","","-4000","1600"
"401756901","Utah","10","Texas Tech","34","Utah -3.5","DraftKings","58.5","-3.5","-3.5","","-175","145"
"401752715","Tennessee","56","UAB","24","Tennessee -39.5","DraftKings","69.5","-39.5","-41.5","","",""
"401762822","Central Michigan","49","Wagner","10","Central Michigan -29.5","DraftKings","46.5","-29.5","","","-9000","2500"
"401762476","UAB","13","Army","31","Army -6.5","DraftKings","55.5","6.5","9.5","","195","-238"
