"home","away","margin","week","site","FBS","home_conf","away_conf","home_AP","away_AP"
"TCU","COLO",14,6,1,1,"BIG12","BIG12",NA,NA
"UCF","KU",-7,6,1,1,"BIG12","BIG12",NA,NA
"MEM","TLSA",38,6,1,1,"AMERICAN","AMERICAN",NA,NA
"CAL","DUKE",-24,6,1,1,"ACC","ACC",NA,NA
"FRES","NEV",3,6,1,1,"MTNWEST","MTNWEST",NA,NA
"MTSU","MOST",-2,7,1,1,"cUSA","cUSA",NA,NA
"UTEP","LIB",-11,7,1,1,"cUSA","cUSA",NA,NA
"KENN","LT",28,7,1,1,"cUSA","cUSA",NA,NA
"TULN","ECU",7,7,1,1,"AMERICAN","AMERICAN",NA,NA
"SHSU","JVST",-2,7,1,1,"cUSA","cUSA",NA,NA
"GASO","USM",-3,7,1,1,"SUNBELT","SUNBELT",NA,NA
"UNT","USF",-27,7,1,1,"AMERICAN","AMERICAN",NA,24
"WASH","RUTG",19,7,1,1,"BIG10","BIG10",NA,NA
"CSU","FRES",28,7,1,1,"MTNWEST","MTNWEST",NA,NA
"ILL","OSU",-18,7,1,1,"BIG10","BIG10",17,1
"ORE","IU",-10,7,1,1,"BIG10","BIG10",3,7
"MISS","WSU",3,7,1,1,"SEC","PAC12",4,NA
"TA&M","FLA",17,7,1,1,"SEC","SEC",5,NA
"TEX","OU",17,7,1,1,"SEC","SEC",NA,6
"MIZ","ALA",-3,7,1,1,"SEC","SEC",14,8
"TTU","KU",25,7,1,1,"BIG12","BIG12",9,NA
"AUB","UGA",-10,7,1,1,"SEC","SEC",NA,10
"LSU","SC",10,7,1,1,"SEC","SEC",11,NA
"TENN","ARK",3,7,1,1,"SEC","SEC",12,NA
"GT","VT",15,7,1,1,"ACC","ACC",13,NA
"USC","MICH",18,7,1,1,"BIG10","BIG10",NA,15
"ND","NCSU",29,7,1,1,"ind","ACC",16,NA
"ARIZ","BYU",-6,7,1,1,"BIG12","BIG12",NA,18
"UTAH","ASU",32,7,1,1,"BIG12","BIG12",NA,21
"COLO","ISU",7,7,1,1,"BIG12","BIG12",NA,22
"FSU","PITT",-3,7,1,1,"ACC","ACC",25,NA
"MSU","UCLA",-25,7,1,1,"BIG10","BIG10",NA,NA
"SMU","STAN",24,7,1,1,"ACC","ACC",NA,NA
"CIN","UCF",9,7,1,1,"BIG12","BIG12",NA,NA
"OKST","HOU",-22,7,1,1,"BIG12","BIG12",NA,NA
"JMU","UL",10,7,1,1,"SUNBELT","SUNBELT",NA,NA
"ARMY","CLT",17,7,1,1,"AMERICAN","AMERICAN",NA,NA
"AKR","M-OH",-13,7,1,1,"MAC","MAC",NA,NA
"BGSU","TOL",5,7,1,1,"MAC","MAC",NA,NA
"EMU","NIU",6,7,1,1,"MAC","MAC",NA,NA
"KENT","MASS",36,7,1,1,"MAC","ind",NA,NA
"PSU","NU",-1,7,1,1,"BIG10","BIG10",NA,NA
"MD","NEB",-3,7,1,1,"BIG10","BIG10",NA,NA
"ORST","WAKE",-25,7,1,1,"PAC12","ACC",NA,NA
"KSU","TCU",13,7,1,1,"BIG12","BIG12",NA,NA
"UNLV","AFA",3,7,1,1,"MTNWEST","MTNWEST",NA,NA
"GAST","APP",-21,7,1,0,"SUNBELT",NA,NA,NA
"MRSH","ODU",24,7,1,1,"SUNBELT","SUNBELT",NA,NA
"WMU","BALL",42,7,1,1,"MAC","MAC",NA,NA
"TEM","NAVY",-1,7,1,1,"AMERICAN","AMERICAN",NA,NA
"FAU","UAB",20,7,1,1,"AMERICAN","AMERICAN",NA,NA
"WIS","IOWA",-37,7,1,1,"BIG10","BIG10",NA,NA
"WYO","SJSU",7,7,1,1,"MTNWEST","MTNWEST",NA,NA
"CCU","ULM",15,7,1,1,"SUNBELT","SUNBELT",NA,NA
"MINN","PUR",7,7,1,1,"BIG10","BIG10",NA,NA
"BC","CLEM",-31,7,1,1,"ACC","ACC",NA,NA
"UTSA","RICE",48,7,1,1,"AMERICAN","AMERICAN",NA,NA
"TXST","TROY",-7,7,1,1,"SUNBELT","SUNBELT",NA,NA
"BOIS","UNM",16,7,1,1,"MTNWEST","MTNWEST",NA,NA
"NEV","SDSU",-34,7,1,1,"MTNWEST","MTNWEST",NA,NA
"HAW","USU",18,7,1,1,"MTNWEST","MTNWEST",NA,NA
